"VCCPSINTFP (uV)","VCCPSINTFP (uA)","VCCINTLP (uV)","VCCINTLP (uA)","VCCPSAUX (uV)","VCCPSAUX (uA)","VCCPSPLL (uV)","VCCPSPLL (uA)","MGTRAVCC (uV)","MGTRAVCC (uA)","MGTRAVTT (uV)","MGTRAVTT (uA)","VCCPSDDR (uV)","VCCPSDDR (uA)","VCCOPS (uV)","VCCOPS (uA)","VCCOPS3 (uV)","VCCOPS3 (uA)","VCCPSDDRPLL (uV)","VCCPSDDRPLL (uA)","VCCINT (uV)","VCCINT (uA)","VCCBRAM (uV)","VCCBRAM (uA)","VCCAUX (uV)","VCCAUX (uA)","VCC1V2 (uV)","VCC1V2 (uA)","VCC3V3 (uV)","VCC3V3 (uA)","VADJ_FMC (uV)","VADJ_FMC (uA)","MGTAVCC (uV)","MGTAVCC (uA)","MGTAVTT (uV)","MGTAVTT (uA)","PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
844,1458,849,321,1818,10,1201,29,850,98,1812,15,1192,160,1795,0,1822,0,1815,24,847,961,850,42,1798,155,1201,21,3293,8,1795,0,897,33,1200,18,1.79037,1.17992,0.188025,3.15832
843,1456,849,321,1818,10,1202,29,850,98,1811,15,1192,155,1795,0,1822,0,1816,24,847,961,848,42,1798,155,1201,21,3292,7,1795,0,897,33,1200,18,1.78132,1.17654,0.18471,3.14257
844,1464,849,321,1818,9,1201,29,851,98,1812,15,1192,165,1795,1,1822,0,1815,24,847,965,848,42,1797,155,1202,21,3293,7,1795,0,897,33,1200,18,1.79958,1.1798,0.18483,3.16421
844,1453,850,321,1818,10,1202,29,850,98,1811,15,1192,161,1793,1,1822,0,1816,24,847,963,850,42,1798,155,1200,21,3293,7,1795,0,898,33,1200,18,1.78772,1.1783,0.18475,3.15077
843,1463,849,320,1817,10,1201,29,850,98,1811,15,1192,163,1793,0,1821,0,1816,24,847,968,848,42,1797,155,1201,22,3292,7,1795,0,898,33,1200,18,1.79587,1.18351,0.184743,3.16412
844,1452,850,320,1818,10,1201,29,850,98,1812,15,1191,164,1793,1,1822,0,1816,24,847,966,848,42,1798,155,1202,21,3292,7,1795,0,897,33,1200,18,1.7894,1.18079,0.184725,3.15492
844,1457,850,320,1817,10,1201,29,850,98,1812,16,1192,155,1795,0,1821,0,1816,24,849,965,850,42,1797,155,1201,22,3292,7,1793,0,897,33,1200,18,1.78305,1.18299,0.186537,3.15257
843,1454,850,321,1817,10,1202,29,850,98,1812,15,1193,161,1793,1,1821,0,1815,25,847,962,850,42,1798,155,1201,22,3292,9,1795,0,897,33,1200,18,1.78905,1.18525,0.191309,3.16561
844,1452,850,320,1818,10,1202,29,850,98,1811,15,1191,168,1795,0,1822,0,1816,25,849,966,848,42,1797,155,1202,21,3293,7,1795,0,897,33,1200,18,1.79601,1.18258,0.184717,3.16331
843,1459,850,320,1818,10,1202,29,851,98,1811,15,1192,152,1793,1,1821,0,1816,24,847,960,848,42,1798,156,1201,21,3292,8,1795,0,897,33,1200,17,1.77974,1.18078,0.1869,3.14742
843,1460,849,320,1818,10,1202,29,850,98,1812,15,1192,165,1793,1,1821,0,1816,25,847,965,848,42,1798,155,1201,21,3293,7,1795,0,898,33,1200,18,1.79758,1.17993,0.184765,3.16228
844,1461,850,321,1818,10,1202,29,850,98,1812,15,1191,165,1795,0,1822,0,1815,24,847,962,848,42,1797,155,1201,22,3293,8,1795,0,897,33,1200,18,1.79905,1.18173,0.188025,3.1688
843,1454,850,321,1818,10,1201,29,850,98,1812,15,1192,166,1795,1,1821,1,1816,24,847,965,850,42,1797,155,1201,21,3292,7,1795,0,898,33,1200,18,1.79304,1.17985,0.184758,3.15765
844,1456,849,321,1818,10,1202,29,850,98,1812,15,1192,158,1793,1,1822,0,1815,24,849,960,850,42,1798,156,1201,22,3293,7,1795,0,897,33,1200,18,1.78633,1.1807,0.184732,3.15176
844,1458,849,320,1818,10,1201,29,850,98,1812,15,1192,166,1795,1,1821,0,1815,24,847,962,850,42,1797,155,1201,22,3292,8,1795,0,897,34,1200,18,1.79667,1.18181,0.188914,3.16739
844,1457,849,321,1818,10,1201,29,850,98,1811,15,1192,169,1795,0,1822,1,1815,24,849,963,848,42,1798,155,1201,21,3292,7,1795,0,897,33,1200,19,1.80025,1.18016,0.18591,3.16632
844,1456,849,321,1817,10,1201,29,850,98,1812,16,1192,166,1793,0,1822,0,1816,24,849,965,848,42,1798,155,1201,22,3293,7,1795,0,897,33,1200,18,1.79585,1.18306,0.186544,3.16546
844,1455,849,321,1818,10,1202,29,850,98,1812,15,1192,164,1795,0,1822,0,1815,24,847,965,848,42,1798,155,1200,21,3293,7,1793,0,897,33,1200,18,1.79263,1.17991,0.184732,3.15728
844,1457,849,321,1818,10,1202,29,850,98,1812,15,1192,159,1793,1,1821,0,1816,24,847,963,850,42,1797,155,1201,22,3293,8,1793,0,897,33,1200,18,1.78839,1.18266,0.188025,3.15907
844,1467,849,321,1818,10,1201,29,851,98,1812,15,1192,168,1795,1,1821,0,1815,24,847,962,848,42,1798,156,1201,22,3293,7,1793,0,897,33,1200,19,1.8075,1.18039,0.18603,3.17392
844,1459,850,321,1817,10,1202,29,850,98,1811,15,1192,166,1793,1,1821,0,1815,24,849,967,848,42,1797,155,1201,21,3293,7,1795,0,898,33,1200,19,1.79871,1.18341,0.18595,3.16806
844,1461,849,321,1818,10,1201,29,850,98,1812,15,1192,162,1793,0,1821,0,1815,24,849,965,848,42,1797,155,1201,21,3293,7,1795,0,898,33,1200,18,1.79529,1.18171,0.184765,3.16176
844,1452,849,321,1818,10,1201,29,850,98,1812,15,1192,160,1793,0,1822,0,1815,24,849,965,848,42,1797,155,1201,21,3293,8,1795,0,897,33,1201,18,1.78531,1.185,0.188043,3.15835
844,1456,849,321,1818,10,1201,29,850,98,1812,15,1192,156,1793,1,1821,1,1815,24,847,960,850,42,1798,155,1201,21,3292,8,1795,0,897,33,1200,18,1.78391,1.17907,0.188017,3.151
843,1656,849,320,1818,10,1202,29,850,98,1812,15,1191,178,1795,1,1821,0,1816,25,849,962,848,42,1798,155,1201,22,3293,7,1795,0,898,33,1201,18,1.97812,1.18052,0.184783,3.34342
842,1629,849,321,1818,10,1202,29,850,98,1812,15,1192,162,1793,0,1822,0,1816,24,849,965,850,42,1797,156,1201,21,3292,7,1793,0,897,33,1200,18,1.93387,1.18358,0.184725,3.30218
843,1634,849,321,1818,10,1202,29,850,98,1812,15,1192,163,1795,1,1821,0,1815,24,847,965,848,42,1798,155,1201,21,3293,8,1793,0,897,33,1200,17,1.94088,1.18323,0.186825,3.31094
842,1634,850,320,1817,10,1202,29,850,98,1812,15,1192,160,1793,0,1822,0,1816,24,847,965,848,42,1798,155,1201,21,3292,7,1795,0,897,34,1200,18,1.93516,1.17993,0.185622,3.30071
843,1634,849,321,1818,10,1202,29,851,98,1812,15,1192,161,1795,0,1821,1,1816,24,849,963,848,42,1798,155,1200,21,3292,8,1795,0,897,33,1200,18,1.93852,1.18343,0.188115,3.31007
843,1637,850,320,1818,10,1202,29,851,98,1812,15,1192,161,1795,0,1821,0,1815,25,849,966,850,42,1797,155,1200,21,3292,8,1795,0,897,33,1200,18,1.94232,1.1859,0.188115,3.31634
843,1636,850,320,1817,10,1202,29,850,98,1812,15,1192,161,1795,0,1822,0,1816,24,847,962,850,42,1798,155,1201,22,3293,7,1796,1,898,33,1200,18,1.93967,1.17868,0.184765,3.30311
842,1634,849,321,1817,10,1202,29,850,98,1812,16,1192,162,1795,1,1821,0,1816,24,847,963,850,42,1798,155,1201,22,3293,8,1795,0,897,33,1200,18,1.93807,1.18282,0.189837,3.31073
843,1635,850,321,1818,10,1201,29,850,98,1812,15,1192,160,1795,0,1822,0,1816,24,847,965,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1200,18,1.93847,1.17993,0.184732,3.30313
843,1638,850,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,0,1822,0,1816,24,847,961,848,42,1797,155,1201,21,3293,7,1795,0,898,33,1200,18,1.94222,1.17639,0.184765,3.30337
842,1638,849,321,1818,10,1201,29,850,98,1812,15,1192,163,1795,0,1822,0,1816,24,847,965,848,42,1797,155,1201,21,3293,8,1795,0,898,33,1200,18,1.94261,1.18307,0.188058,3.31374
842,1639,849,321,1818,10,1201,29,850,98,1812,15,1192,161,1795,0,1822,0,1815,24,849,967,850,42,1798,155,1201,21,3293,7,1795,0,898,33,1200,18,1.94105,1.18365,0.184765,3.30946
843,1637,850,320,1818,10,1202,29,850,98,1812,15,1192,162,1793,0,1821,0,1816,24,847,963,850,42,1798,155,1201,22,3292,8,1795,0,897,33,1200,18,1.94172,1.18281,0.188017,3.31254
843,1636,849,321,1818,10,1201,29,850,98,1812,15,1192,161,1793,1,1822,0,1815,24,849,963,848,42,1798,155,1201,21,3292,8,1795,0,897,34,1200,18,1.94016,1.18345,0.188914,3.31252
843,1635,849,321,1818,10,1202,29,850,98,1812,15,1192,160,1793,1,1821,0,1816,24,849,967,848,42,1797,155,1201,22,3293,8,1795,0,898,33,1200,18,1.93818,1.1879,0.188058,3.31413
843,1635,850,321,1817,10,1201,29,850,98,1811,15,1192,162,1795,0,1822,0,1816,24,847,966,850,42,1798,155,1200,21,3293,8,1795,0,897,33,1200,18,1.94084,1.18414,0.18801,3.31299
842,1635,850,320,1818,10,1202,29,850,98,1811,15,1192,161,1795,0,1822,0,1815,24,847,965,850,42,1798,155,1201,21,3293,8,1795,0,897,33,1200,18,1.93718,1.18331,0.18801,3.3085
843,1638,850,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,0,1822,0,1815,24,849,966,848,42,1798,155,1201,21,3293,8,1795,0,897,33,1200,18,1.94219,1.186,0.188025,3.31622
843,1634,850,321,1818,10,1202,29,850,98,1812,15,1192,161,1793,0,1821,0,1816,24,847,963,848,42,1798,155,1202,21,3295,7,1795,0,897,33,1200,18,1.93885,1.17827,0.184746,3.30187
842,1643,850,321,1818,10,1202,29,850,98,1812,15,1192,160,1793,0,1822,0,1816,24,849,963,848,43,1797,155,1201,21,3293,6,1793,0,898,33,1201,18,1.9436,1.17756,0.18149,3.30265
843,1636,849,321,1818,10,1202,29,850,98,1812,15,1192,162,1795,0,1822,0,1815,24,849,963,848,42,1798,155,1201,21,3293,7,1795,0,897,33,1200,18,1.94138,1.18017,0.184732,3.30628
843,1630,849,321,1818,10,1201,29,850,98,1811,15,1192,162,1793,0,1822,0,1815,24,850,966,848,43,1797,156,1201,21,3292,7,1795,0,897,33,1200,18,1.93629,1.18616,0.18471,3.30716
