"PS Power(W)","PL Power(W)","MGT Power(W)","Total Power(W)"
1.82466,1.12759,0.183251,3.13551
1.78514,1.13682,0.188002,3.10996
1.78599,1.13781,0.184732,3.10853
1.77817,1.13784,0.18987,3.10589
1.77614,1.13463,0.18475,3.09552
1.77096,1.13488,0.184779,3.09062
1.77578,1.1317,0.181439,3.08892
1.78436,1.13558,0.185582,3.10552
1.77748,1.13664,0.190687,3.10481
1.77664,1.13373,0.184732,3.09511
1.77313,1.14071,0.193368,3.10721
1.79175,1.13149,0.184725,3.10797
1.78612,1.13866,0.185582,3.11036
1.78474,1.13262,0.185582,3.10295
1.78789,1.13234,0.184863,3.10509
1.79859,1.13333,0.187412,3.11933
1.78315,1.14201,0.187105,3.11226
1.7697,1.13412,0.184743,3.08856
1.78481,1.13511,0.1856,3.10552
1.7906,1.13343,0.184765,3.10879
1.7896,1.13158,0.185428,3.10661
1.77875,1.13193,0.182658,3.09334
1.78071,1.136,0.184765,3.10148
1.77941,1.1351,0.185615,3.10013
1.77286,1.13298,0.181439,3.08728
1.77536,1.13833,0.190705,3.1044
1.79076,1.13319,0.185615,3.10956
1.79408,1.13646,0.188926,3.11947
1.78591,1.13722,0.184399,3.10753
1.78928,1.13693,0.187526,3.11373
1.78332,1.13928,0.186817,3.10941
1.78957,1.13261,0.180239,3.10242
1.7979,1.13404,0.184717,3.11666
1.79047,1.14206,0.185681,3.11821
1.7777,1.13689,0.187196,3.10179
1.79134,1.13447,0.185582,3.11139
1.77534,1.1345,0.183532,3.09337
1.78611,1.13725,0.184765,3.10813
1.7867,1.13488,0.188875,3.11045
1.78018,1.13782,0.18801,3.10601
1.78595,1.13664,0.188908,3.1115
1.78366,1.13939,0.188926,3.11198
1.77668,1.13527,0.185582,3.09753
1.78858,1.13853,0.188908,3.11602
1.77431,1.13158,0.184732,3.09063
1.78765,1.13114,0.18475,3.10354
1.78976,1.13503,0.188875,3.11367
1.78506,1.13558,0.1856,3.10624
1.78102,1.13477,0.188875,3.10467
1.77652,1.14031,0.188908,3.10574
1.79498,1.13771,0.1856,3.1183
1.79382,1.13477,0.181457,3.11005
1.78578,1.13757,0.190687,3.11404
1.78256,1.13524,0.184728,3.10253
1.78692,1.13646,0.188867,3.11225
1.79486,1.13403,0.185575,3.11446
1.793,1.13686,0.185674,3.11554
1.79165,1.13477,0.189487,3.11591
1.78469,1.13771,0.188025,3.11042
1.90629,1.13582,0.184399,3.22651
1.90472,1.13781,0.187978,3.2305
1.95168,1.14092,0.188891,3.2815
1.90268,1.13576,0.188875,3.22731
1.92962,1.13463,0.184725,3.24897
1.88871,1.13245,0.185615,3.20678
1.89696,1.13839,0.188875,3.22423
1.8923,1.13687,0.185615,3.21478
1.89204,1.13746,0.188875,3.21838
1.88838,1.13547,0.182289,3.20614
1.89762,1.1385,0.184776,3.2209
1.89053,1.13684,0.187667,3.21503
